Actual_Rainfall,Predicted_Rainfall
255.01666666666662,274.2477
290.77222222222224,269.34946
264.87777777777785,270.23434
238.7722222222222,268.23636
271.81666666666666,260.34747
222.50555555555556,258.92197
305.2277777777778,250.4277
286.93888888888887,256.82104
252.0555555555556,263.4654
284.11111111111114,261.88422
222.65555555555557,264.06052
324.4055555555555,255.87183
237.23333333333338,264.44983
279.8777777777778,261.28748
336.6111111111111,262.05212
236.27777777777783,275.8869
254.81666666666672,271.28006
224.60555555555553,264.74335
242.06666666666666,254.12553
295.4222222222222,246.80211
178.0111111111111,252.5613
223.05555555555557,239.48564
257.9944444444444,230.12338
212.68333333333328,231.34024
208.8555555555556,227.12836
251.1611111111111,223.45682
272.96666666666664,224.53127
204.59444444444438,231.38365
230.4777777777778,228.1239
208.99444444444447,225.98607
219.38333333333338,223.05685
260.2277777777778,220.79187
280.9555555555556,223.82254
262.01666666666665,234.5298
214.20000000000002,242.58035
255.02222222222224,238.11848
219.13333333333335,238.41118
230.65555555555557,233.58858
235.15555555555562,229.82964
192.81111111111113,228.1394
220.93888888888893,222.82246
251.19444444444446,220.09067
220.76666666666665,222.7579
220.7277777777778,222.93764
225.65555555555557,222.00847
223.27777777777771,221.38583
273.1388888888889,220.85173
227.1388888888889,226.17606
213.29999999999998,228.03548
220.4222222222222,225.05606
209.35555555555555,223.08537
237.8777777777778,220.12227
223.48888888888885,220.95705
236.84444444444443,221.13728
220.07222222222222,222.37572
240.7555555555556,222.11806
258.5444444444445,223.4662
216.73333333333338,228.02812
197.36666666666667,226.69864
280.7055555555555,222.02008
260.9111111111111,226.52423
208.7333333333333,234.74323
267.06111111111113,231.06902
212.22222222222223,235.20726
209.69444444444446,230.85658
246.0333333333333,225.13159
193.48333333333335,225.28764
198.1222222222222,221.23973
225.3222222222222,216.28929
241.10555555555553,215.4108
239.44444444444449,218.33208
244.6722222222223,221.71294
263.81666666666666,224.37238
204.01666666666665,231.32579
243.4944444444444,227.47086
214.7888888888889,227.30133
232.9055555555555,224.72336
217.52222222222224,224.26549
245.04999999999998,222.7022
227.2333333333333,224.17853
241.03888888888892,224.5235
208.50555555555553,225.66595
259.9055555555555,223.4818
232.2277777777778,225.89635
213.3222222222222,227.14606
249.78333333333336,224.57864
238.8444444444445,225.9649
213.0166666666667,227.69223
247.22777777777785,225.14473
224.51666666666665,226.0308
231.07222222222222,225.54987
283.31666666666666,225.12436
245.94444444444446,233.9884
254.2611111111111,238.32312
254.7611111111111,241.4677
245.51666666666668,243.51093
205.60555555555555,243.27332
240.92777777777778,234.65303
209.36111111111106,231.3748
267.3388888888889,225.89442
232.40000000000003,229.54213
224.58333333333337,230.44257
207.15555555555557,228.22989
238.63333333333335,224.2112
250.82222222222222,223.6601
226.1055555555555,225.88689
265.6722222222223,225.91354
271.8722222222222,231.80351
210.0111111111111,240.3251
258.56111111111113,236.07715
225.86111111111114,237.26385
256.5444444444445,234.33653
323.83888888888885,236.01366
250.11111111111111,252.40422
269.00000000000006,256.06192
200.58333333333334,258.19434
256.3277777777778,246.6405
265.2611111111111,243.11462
213.76111111111106,245.18855
232.18888888888887,238.64651
234.95555555555555,233.66754
289.1166666666666,231.19658
217.79444444444437,240.19711
274.93888888888887,237.8482
244.5444444444444,242.58974
226.32222222222222,242.98193
272.25,238.60394
234.73333333333332,242.13551
230.94999999999996,240.94467
238.93888888888887,237.04872
203.8611111111111,234.67227
286.46111111111105,227.0887
265.6666666666667,234.22849
295.3833333333333,241.77032
299.7,252.93095
216.30555555555554,263.79364
242.67777777777778,257.13318
270.91111111111115,250.52303
253.54444444444445,251.04918
233.5,250.43394
265.1611111111111,245.88562
263.3888888888889,246.80592
242.0,249.12416
256.9111111111111,247.46309
252.7555555555556,247.12213
265.21666666666664,246.84178
271.1388888888889,248.79652
256.0222222222222,252.30984
264.54999999999995,253.10486
251.8444444444445,254.13965
278.0444444444445,252.63551
299.03888888888895,255.69247
269.9555555555556,263.54486
286.85,265.8194
245.85000000000002,269.33667
256.0833333333333,264.49246
275.8444444444445,260.0987
242.9388888888888,260.3914
245.38333333333333,255.95258
268.9222222222222,251.16806
270.1166666666666,251.80536
319.7888888888888,254.32404
280.56666666666666,266.1425
292.30000000000007,271.74
275.8777777777778,276.0083
247.39444444444442,275.9567
256.47222222222223,268.56464
264.96666666666664,262.7373
277.62222222222226,260.10147
238.1833333333334,261.37604
283.68888888888887,256.3019
304.19444444444446,258.5984
275.64444444444445,266.68512
249.10000000000002,269.95407
305.8333333333333,264.99573
312.6055555555556,270.13757
238.72222222222223,279.1637
323.7944444444445,272.47525
264.75,279.4848
259.3333333333333,277.59198
248.3777777777778,271.87262
232.9222222222222,263.9574
250.90000000000003,254.53897
227.83333333333334,249.46689
269.83333333333326,242.51588
277.93333333333334,244.23521
285.3722222222222,250.22456
273.62222222222226,257.43127
253.2111111111111,261.19217
250.86666666666665,259.77573
257.8833333333333,255.82404
277.8666666666666,253.69518
260.7277777777778,256.3795
265.9333333333332,256.91602
287.85,257.5742
260.8722222222222,262.1428
262.7944444444445,262.27295
303.70555555555563,260.9651
259.1333333333333,267.08353
240.89999999999998,266.2056
269.68888888888887,259.89746
266.4555555555556,258.33795
284.1055555555555,258.24002
291.7888888888889,261.8996
252.70555555555555,267.30722
218.46111111111114,264.96164
263.6611111111112,254.08768
252.9333333333334,250.81615
317.50555555555553,249.12785
276.3666666666667,260.4709
293.83333333333326,265.47333
228.18333333333328,271.53732
284.37222222222226,263.58865
223.22222222222226,263.4445
278.1222222222222,254.67172
280.84999999999997,254.80298
287.5222222222222,258.661
269.15555555555557,264.08044
270.9611111111111,265.62582
249.97777777777776,265.61118
253.2611111111111,261.50287
261.08888888888885,256.92084
269.74999999999994,255.03252
263.7888888888889,255.9201
291.10555555555555,256.69705
261.7611111111111,261.98175
251.39999999999995,262.6061
289.1166666666667,259.1771
269.3611111111111,262.26785
290.9555555555556,263.25693
264.8166666666667,267.49518
273.1222222222222,266.98804
191.73333333333335,266.65634
164.22222222222217,251.19107
169.35555555555553,228.68266
284.26666666666665,215.47485
338.94444444444446,219.3914
266.0888888888889,239.4641
289.35555555555555,251.96849
312.12777777777774,261.01584
266.35555555555555,271.9742
294.2055555555555,272.9803
266.15000000000003,275.81128
217.79999999999998,273.39172
235.4888888888889,260.47427
264.04999999999995,250.58737
312.71111111111117,249.07617
615.0944444444443,259.98563
722.2055555555555,337.61017
658.6166666666667,444.85995
629.2944444444445,518.5794
547.8888888888888,558.6541
578.5555555555555,560.1511
695.1388888888889,562.68036
715.25,593.4972
634.8833333333333,626.5431
609.5833333333334,631.2732
526.55,624.3423
672.2222222222222,597.08795
578.9888888888888,609.97327
751.7888888888889,601.4268
547.8444444444444,635.2829
684.4222222222222,615.14606
677.1777777777777,626.9753
525.0444444444444,638.15704
592.9666666666667,608.6514
571.5333333333334,597.42834
607.9611111111112,586.52203
662.2111111111112,588.1842
720.35,604.9022
695.0333333333333,634.31744
703.838888888889,650.1491
599.7277777777779,662.15466
643.1166666666667,643.11584
663.7055555555555,637.1318
717.7499999999999,639.02344
592.7055555555556,655.6363
747.6833333333335,638.8748
677.9000000000001,661.0431
797.3000000000001,664.2279
609.4055555555556,694.76556
588.511111111111,671.3089
661.6777777777778,643.0823
659.9777777777779,640.05164
632.8166666666666,641.1385
565.0833333333335,636.458
728.4333333333333,615.2027
527.0166666666669,637.93146
691.661111111111,610.23364
704.1333333333334,624.4523
605.4222222222221,642.8595
621.2722222222222,632.6673
781.6777777777778,624.6482
664.5111111111112,660.1627
712.6500000000001,661.8188
668.6888888888888,670.83716
736.0222222222222,666.7009
629.1,679.48846
591.2111111111112,663.8265
685.7166666666665,639.2863
745.4722222222224,644.7707
700.6944444444443,667.3794
751.4166666666666,674.62537
637.8555555555556,691.1105
723.3555555555556,674.51245
830.6388888888889,679.9037
692.9277777777777,714.45337
1034.5944444444444,706.42957
778.6111111111111,786.4947
637.6166666666666,780.3165
632.5277777777778,734.10455
581.0222222222224,696.43036
605.3333333333335,657.443
639.5777777777777,635.7777
686.1666666666666,631.4263
666.5388888888888,642.31696
783.1055555555554,647.5957
648.7166666666667,679.5127
585.7111111111112,670.45465
630.6111111111111,643.8348
681.9166666666666,631.60596
826.388888888889,638.9201
598.7666666666667,684.54956
672.9944444444445,663.85425
753.7111111111111,659.98114
580.5166666666668,679.0783
737.0055555555555,652.0329
751.4833333333332,666.3482
791.9111111111112,685.4052
767.1999999999999,709.805
670.0611111111111,721.5125
612.9055555555556,703.48083
599.4166666666666,672.88544
563.0888888888888,645.9775
688.2111111111111,617.7482
646.4333333333333,629.40875
797.2944444444445,632.7776
730.5555555555557,672.15955
757.6944444444445,688.019
690.9444444444445,702.47626
883.4944444444445,694.9125
670.4666666666667,736.86017
642.3666666666667,716.09863
769.8666666666668,689.1613
728.9944444444444,701.7215
741.0277777777777,704.95337
669.6722222222222,709.91736
629.7777777777778,694.6399
576.7444444444444,671.69366
623.2666666666667,640.40094
622.9888888888888,628.655
689.8722222222221,622.68695
750.9944444444444,636.343
754.8722222222221,663.49286
645.95,686.39246
755.2777777777778,674.0676
726.1277777777777,688.10144
763.1555555555556,693.7282
675.4944444444445,706.5847
816.7388888888888,694.25256
725.9611111111111,719.40393
629.6111111111112,717.67786
234.43888888888893,689.3414
225.01111111111106,570.8537
260.4722222222223,467.7475
202.2111111111111,397.44977
190.2111111111111,337.73474
236.52777777777777,288.96094
230.39444444444442,262.5972
205.18333333333328,248.44719
218.68333333333328,235.2641
232.68888888888893,228.79863
191.17222222222225,224.5249
232.6777777777778,217.56435
201.66111111111113,215.99074
243.80555555555554,214.34816
231.94444444444449,217.20982
287.7611111111112,219.64362
243.81111111111113,229.26219
194.56111111111113,235.52295
227.79444444444445,227.98463
185.05555555555554,224.71094
203.86666666666665,218.72095
191.60000000000002,214.30463
207.2944444444445,209.96495
205.42222222222225,208.44052
214.05555555555551,207.77612
203.8388888888889,208.7664
220.5222222222222,208.58394
235.19999999999996,210.13338
206.84444444444443,213.56343
212.66666666666669,213.86134
227.14444444444442,213.717
242.1222222222222,215.06065
265.2722222222222,218.82658
205.96666666666664,224.64798
226.65000000000003,224.06885
201.66666666666666,223.3154
199.6777777777778,220.0232
243.51666666666662,215.80994
216.70555555555555,217.63806
230.57222222222222,217.99915
197.11111111111117,219.2574
205.48888888888888,216.69905
254.47222222222229,214.1175
228.35555555555553,218.03386
198.72222222222223,220.38367
242.92777777777778,217.86604
239.21666666666664,219.76276
237.9555555555556,222.1339
235.50000000000003,224.17361
226.07777777777784,225.45264
226.45555555555558,225.05371
213.2,224.39455
257.02777777777777,222.29483
222.43333333333337,224.84863
269.7944444444444,224.94203
281.82222222222225,231.0777
248.36111111111117,242.11089
234.10555555555553,245.76337
